"Dia","Hora","Satelite","Instrumento","Latitud","Longitud","FP_T21","FP_T31","FP_Power","FP_Confidence","SCAN","TRACK"
2024-10-01,05:47:03,"AQUA","MODIS",-23.844671,-56.686871,312.005,296.956,9.29137,83,1.0001,1.00005
2024-10-01,05:47:03,"AQUA","MODIS",-23.85355,-56.688419,319.429,298.278,15.6762,98,1.0001,1.00005
2024-10-01,05:47:03,"AQUA","MODIS",-24.069202,-55.326881,317.431,298.301,13.7107,95,1.04333,1.02028
2024-10-01,05:47:03,"AQUA","MODIS",-24.071238,-55.378677,310.329,298.798,6.06926,80,1.04005,1.01876
2024-10-01,05:47:03,"AQUA","MODIS",-23.632519,-59.150436,313.457,298.709,10.1508,83,1.15809,1.07172
2024-10-01,05:47:03,"AQUA","MODIS",-24.33095,-55.236351,311.538,297.084,8.92483,83,1.05325,1.02485
2024-10-01,05:47:03,"AQUA","MODIS",-24.243166,-56.114506,315.718,294.446,13.1965,92,1.00868,1.0041
2024-10-01,05:47:03,"AQUA","MODIS",-24.244583,-56.104736,319.064,294.48,16.2113,98,1.00898,1.00424
2024-10-01,05:47:03,"AQUA","MODIS",-24.247528,-58.901608,313.312,298.994,10.2526,85,1.11173,1.05132
2024-10-01,05:47:03,"AQUA","MODIS",-24.28133,-58.903782,313.411,298.494,10.2786,85,1.11059,1.05081
2024-10-01,05:47:03,"AQUA","MODIS",-24.290636,-58.905582,317.214,299.176,14.063,94,1.11059,1.05081
2024-10-01,05:47:03,"AQUA","MODIS",-24.292397,-58.894863,319.33,298.503,16.5472,98,1.10945,1.0503
2024-10-01,05:47:03,"AQUA","MODIS",-23.903742,-61.467373,320.099,302.862,24.6697,100,1.56128,1.23154
2024-10-01,05:47:03,"AQUA","MODIS",-23.90592,-61.47337,337.544,302.83,65.6928,100,1.56128,1.23154
2024-10-01,05:47:03,"AQUA","MODIS",-23.908674,-61.458427,319.889,302.825,22.9674,99,1.55754,1.23019
2024-10-01,05:47:03,"AQUA","MODIS",-23.916784,-61.475697,345.913,302.83,93.8546,100,1.56128,1.23154
2024-10-01,05:47:03,"AQUA","MODIS",-23.919525,-61.460754,334.981,302.825,57.9733,100,1.55754,1.23019
2024-10-01,05:47:03,"AQUA","MODIS",-24.992811,-59.136913,320.821,294.306,20.1641,100,1.11522,1.05287
2024-10-01,05:47:03,"AQUA","MODIS",-24.970621,-60.663334,321.649,299.19,26.4262,100,1.33135,1.14396
2024-10-01,05:47:03,"AQUA","MODIS",-24.968851,-60.668659,317.073,298.367,19.4276,94,1.33135,1.14396
2024-10-01,05:47:03,"AQUA","MODIS",-24.978962,-60.670769,332.903,300.391,46.4205,100,1.33135,1.14396
2024-10-01,05:47:03,"AQUA","MODIS",-25.004749,-60.70298,311.818,298.873,12.4882,80,1.33621,1.1459
2024-10-01,05:47:03,"AQUA","MODIS",-25.012602,-60.718086,320.42,300.289,23.6337,100,1.33866,1.14688
2024-10-01,05:47:03,"AQUA","MODIS",-25.014872,-60.705124,320.021,300.511,22.9687,100,1.33621,1.1459
2024-10-01,05:47:03,"AQUA","MODIS",-25.228518,-60.237373,351.532,300.81,86.8404,100,1.24876,1.11027
2024-10-01,05:47:03,"AQUA","MODIS",-25.23057,-60.225239,355.553,301.831,99.4237,100,1.24682,1.10946
2024-10-01,05:47:03,"AQUA","MODIS",-25.229418,-60.243107,322.443,298.094,23.1926,100,1.24876,1.11027
2024-10-01,05:47:03,"AQUA","MODIS",-25.231535,-60.230988,375.746,302.862,184.766,100,1.24682,1.10946
2024-10-01,05:47:03,"AQUA","MODIS",-25.239235,-60.245132,352.704,299.613,89.8538,100,1.24876,1.11027
2024-10-01,05:47:03,"AQUA","MODIS",-25.241344,-60.233013,397.993,302.862,329.36,100,1.24682,1.10946
2024-10-01,05:47:03,"AQUA","MODIS",-25.803635,-57.642117,311.712,296.37,9.87463,82,1.00653,1.00309
2024-10-01,05:47:03,"AQUA","MODIS",-25.81254,-57.643757,311.261,296.842,9.28611,81,1.00653,1.00309
2024-10-01,05:47:03,"AQUA","MODIS",-25.819937,-57.65527,317.812,297.935,14.3512,96,1.00678,1.00321
2024-10-01,05:47:03,"AQUA","MODIS",-25.821445,-57.645401,323.234,296.908,19.6935,100,1.00653,1.00309
2024-10-01,05:47:03,"AQUA","MODIS",-25.837774,-57.786198,316.286,297.869,12.4766,93,1.01019,1.00481
2024-10-01,05:47:03,"AQUA","MODIS",-25.839304,-57.776295,316.969,297.439,13.1024,94,1.00988,1.00467
2024-10-01,05:47:03,"AQUA","MODIS",-25.486969,-60.000137,321.423,298.395,22.475,100,1.2033,1.09116
2024-10-01,05:47:03,"AQUA","MODIS",-25.888817,-58.048206,313.409,296.951,10.3496,87,1.01915,1.00902
2024-10-01,05:47:03,"AQUA","MODIS",-25.89777,-58.049892,330.143,297.935,28.0365,100,1.01915,1.00902
2024-10-01,05:47:03,"AQUA","MODIS",-25.972031,-58.110703,344.6,299.993,50.4985,100,1.02092,1.00985
2024-10-01,05:47:03,"AQUA","MODIS",-25.9736,-58.100689,331.351,299.683,28.8417,100,1.02047,1.00964
2024-10-01,05:47:03,"AQUA","MODIS",-26.001595,-57.921085,323.926,295.763,21.0247,100,1.01321,1.00624
2024-10-01,05:47:03,"AQUA","MODIS",-26.003136,-57.91114,322.053,295.974,19.0055,100,1.01286,1.00607
2024-10-01,05:47:03,"AQUA","MODIS",-24.976402,-64.032967,311.149,295.561,29.9846,82,2.23411,1.44861
2024-10-01,05:47:03,"AQUA","MODIS",-26.047743,-60.919365,315.748,299.78,15.3322,91,1.32181,1.14013
